generation,fitness,I0-ns,I0-ew,I1-ns,I1-ew,I2-ns,I2-ew,I3-ns,I3-ew,
generation,fitness,I0-ns,I0-ew,
generation,fitness,I0-ns,I0-ew,I1-ns,I1-ew,I2-ns,I2-ew,I3-ns,I3-ew,I4-ns,I4-ew,I5-ns,I5-ew,I6-ns,I6-ew,I7-ns,I7-ew,I8-ns,I8-ew,
0,1109.8181179775281,138,140,114,196,102,465,178,233,232,56,310,419,392,188,239,394,85,45,
0,1593.594366197183,120,337,361,381,361,19,4,212,160,346,325,102,151,248,377,160,466,458,
0,1116.1866295264624,42,227,187,448,320,358,302,219,305,218,150,499,449,477,499,64,188,217,
0,1865.6303284416492,4,155,32,425,169,58,70,380,34,18,281,19,244,133,132,117,181,35,
0,1083.5842068483578,86,75,93,398,89,488,449,306,303,202,312,324,400,129,424,112,64,339,
0,1215.9457202505218,109,91,483,416,53,291,191,136,64,159,413,174,249,221,314,452,15,156,
0,1049.608089260809,338,383,217,288,159,209,62,466,464,158,455,336,92,181,350,361,284,480,
0,855.7324438202247,174,443,377,354,336,477,420,363,129,173,332,158,285,220,415,204,482,357,
0,1095.2431865828091,451,189,432,161,437,132,233,244,340,499,248,335,324,78,24,124,358,232,
0,1060.3840682788052,51,322,384,282,375,248,441,411,444,403,147,241,439,119,495,25,492,154,
0,1360.4739069111424,137,20,227,294,112,435,112,281,478,84,309,46,171,263,450,123,420,111,
0,1418.5178696566222,361,447,443,374,18,222,252,293,457,449,108,58,262,312,407,392,490,53,
0,1201.202380952381,90,479,189,49,204,31,488,232,188,69,100,29,322,296,440,383,249,125,
0,1055.3481012658228,166,365,338,418,350,393,136,356,263,460,493,312,417,204,420,348,386,98,
0,893.0938803894297,182,80,127,123,174,264,427,494,144,362,226,331,469,82,129,420,245,335,
0,1740.9392882065597,89,204,410,4,30,267,308,332,497,294,472,352,58,216,25,482,197,372,
0,1836.453970484891,14,179,407,393,417,77,356,152,457,369,39,317,61,86,138,419,357,14,
0,1028.9394572025053,398,170,312,170,183,204,342,426,244,438,441,472,336,379,182,85,369,467,
0,1300.642009769714,18,284,156,94,192,383,412,198,228,127,126,382,4,495,354,442,57,247,
0,1409.1106442577031,470,364,379,27,375,292,337,40,97,143,170,389,184,335,140,245,141,77,
1,1067.6143057503507,166,365,338,418,350,393,136,356,263,460,493,312,417,204,420,348,386,98,
1,1162.14095371669,42,227,187,448,320,358,302,219,305,218,150,499,449,477,499,64,188,217,
1,1052.9930458970794,451,189,432,161,437,132,233,244,340,499,248,335,324,78,24,124,358,232,
1,935.8125,182,80,127,123,174,264,427,494,144,362,226,331,469,82,129,420,245,335,
1,1066.8339076498967,338,383,217,288,159,209,62,466,464,438,441,472,336,379,182,85,369,467,
1,992.731843575419,182,417,127,123,174,264,427,494,144,173,332,158,285,220,415,204,482,357,
1,955.8153846153846,86,75,93,398,89,488,449,306,303,403,147,241,439,119,495,25,492,154,
1,1082.3581363004173,138,140,114,196,102,465,178,233,232,460,493,312,417,204,420,348,386,98,
1,1033.8946251768034,51,322,384,282,375,248,441,411,444,403,147,241,439,119,495,25,492,154,
1,1059.697350069735,398,170,312,170,183,204,342,426,244,438,441,472,336,379,182,85,369,467,
1,860.228712174525,174,443,377,354,336,477,420,363,129,173,332,158,285,220,415,204,482,357,
1,1201.2666666666667,42,227,187,448,320,358,302,219,305,499,248,335,324,78,24,124,358,232,
1,1007.5356643356644,138,140,114,196,102,465,178,233,232,56,310,419,392,188,239,394,85,45,
1,1223.1031578947368,51,322,384,282,375,248,441,411,444,202,312,324,400,129,424,112,64,339,
1,985.389318341532,398,170,312,170,183,204,342,426,244,158,455,336,92,181,350,361,284,480,
1,1053.1353226925746,338,383,217,288,159,209,62,466,464,158,455,336,92,181,350,361,284,480,
1,1064.0816468946266,86,75,93,398,89,488,449,306,303,202,312,324,400,129,424,112,64,339,
1,929.8705799151344,174,443,377,354,336,477,420,363,129,362,226,331,469,82,129,420,245,335,
1,1183.5264270613109,451,189,432,301,437,132,233,244,340,218,150,499,449,477,499,64,188,217,
1,1211.8807017543859,62,365,243,418,350,393,136,356,263,56,310,419,392,188,239,394,85,45,
