Sector,State,FY 2013,FY 2014,FY 2015,FY 2016,FY2017,FY 2018,Coordinates,N,Lat,Long
Big Bend (Marfa),TX,"3,684","4,096",5.031,6.366,6.002,8.045,"29° 11′ 24.34″ N, 102° 56′ 47.56″ W",9,29° 11′ 24.34″ N,102° 56′ 47.56″ W
Del Rio,TX,"23,510","24,255",19.013,23.078,13.476,15.833,29°19′36.32″N 100°55′39.05″W,14,29°19′36.32″N,100°55′39.05″W
El Centro,CA,"16,306 1","14,511",12.82,19.448,18.633,29.23,"32° 44′ 51″ N, 114° 57′ 48″ W",16,32° 44′ 51″ N,114° 57′ 48″ W
El Paso,TX,"11,154 1","12,339 14",14.495,25.634,25.193,31.561,31°45′33.14″N 106°29′24.63″W,16,31°45′33.14″N,106°29′24.63″W
Laredo,TX,"50,749","44,049",35.888,36.562,25.46,32.641,27°31′28″N 99°29′26″W,10,27°31′28″N,99°29′26″W
Rio Grande Valley (McAllen),TX,"154,453","256,393",147.257,186.83,137.562,162.262,"26°14′22.10″N, 98°33′54.30″W",19,26°14′22.10″N,98°33′54.30″W
San Diego,CA,"27,496","29,911",26.29,31.891,26.086,38.591,"32° 32′ 36″ N, 117° 1′ 47″ W",19,32° 32′ 36″ N,117° 1′ 47″ W
Tuscon,AZ,"120,939","87,915",63.397,64.891,38.657,52.172,"31° 20′ 25″ N, 110° 56′ 3″ W",16,31° 20′ 25″ N,110° 56′ 3″ W
Yuma,AZ,"6,106","5,902",7.142,14.17,12.847,26.244,"32° 43′ 7.32″ N, 114° 43′ 39.72″ W",10,32° 43′ 7.32″ N,114° 43′ 39.72″ W
Total SouthWest,"420,789","486,651","337,117",415.816,310.531,404.142,,,,,
percentage caught versus illegal,,,,,,,,,,,
need to see if these numbers are pedertsians matches to DOT ?,,,,,,,,,,,
