GEOID,population,smallPop,education,poverty,foodstamps
15000US110010001001,1405,3,1041,291,0
15000US110010001002,1362,3,1071,287,0
15000US110010001003,1245,2,939,333,0
15000US110010001004,1172,2,838,296,0
15000US110010002011,3844,8,71,4,0
15000US110010002021,1168,2,650,145,0
15000US110010002022,790,2,605,203,0
15000US110010002023,915,2,536,114,0
15000US110010002024,1678,3,585,81,0
15000US110010003001,1383,3,968,255,0
15000US110010003002,1479,3,1186,254,23
15000US110010003003,1264,3,865,235,0
15000US110010003004,1953,4,1366,263,0
15000US110010004001,598,1,452,148,0
15000US110010004002,929,2,725,215,0
15000US110010005011,2004,4,1481,326,0
15000US110010005012,1357,3,1148,157,14
15000US110010005021,1637,3,1254,331,12
15000US110010005022,1470,3,1242,175,21
15000US110010006001,1095,2,866,201,0
15000US110010006002,1043,2,909,165,0
15000US110010006003,764,2,563,177,0
15000US110010006004,1635,3,1334,312,15
15000US110010007011,1115,2,926,227,0
15000US110010007012,1654,3,1389,322,16
15000US110010007013,1589,3,1546,332,0
15000US110010007014,878,2,741,125,0
15000US110010007021,1309,3,1084,215,0
15000US110010007022,907,2,790,105,16
15000US110010007023,1168,2,1134,142,0
15000US110010008011,2066,4,1410,310,0
15000US110010008012,847,2,580,256,0
15000US110010008013,2731,5,1724,683,0
15000US110010008014,1094,2,589,138,0
15000US110010008021,1704,3,1292,333,0
15000US110010008022,1373,3,922,256,0
15000US110010009011,1503,3,1063,391,0
15000US110010009012,1639,3,1173,427,0
15000US110010009013,4629,9,962,325,34
15000US110010009021,821,2,581,205,0
15000US110010009022,1513,3,1015,371,0
15000US110010010011,894,2,562,188,0
15000US110010010012,2106,4,1593,465,0
15000US110010010013,1000,2,635,292,0
15000US110010010014,1930,4,1132,395,0
15000US110010010015,921,2,479,207,0
15000US110010010016,1185,2,843,358,0
15000US110010010021,1259,3,379,54,0
15000US110010010022,1444,3,1160,306,0
15000US110010010023,813,2,664,213,0
15000US110010011001,1851,4,1505,460,0
15000US110010011002,1361,3,1116,384,0
15000US110010011003,682,1,455,206,0
15000US110010011004,549,1,377,169,0
15000US110010012001,2121,4,1654,496,28
15000US110010012002,1101,2,915,103,45
15000US110010012003,631,1,539,158,0
15000US110010012004,1027,2,919,254,0
15000US110010013011,1811,4,1273,387,0
15000US110010013012,639,1,520,167,0
15000US110010013013,1708,3,1409,318,0
15000US110010013021,2375,5,2165,291,0
15000US110010013022,4685,9,4075,791,28
15000US110010013023,736,1,434,150,13
15000US110010014011,2218,4,1671,446,30
15000US110010014012,1115,2,722,286,0
15000US110010014021,780,2,539,227,0
15000US110010014022,833,2,651,192,0
15000US110010014023,1479,3,1052,239,121
15000US110010015001,1674,3,1135,411,0
15000US110010015002,1014,2,615,258,0
15000US110010015003,793,2,624,143,0
15000US110010015004,1688,3,1195,459,0
15000US110010015005,1047,2,660,301,0
15000US110010016001,1068,2,855,278,8
15000US110010016002,507,1,438,109,0
15000US110010016003,678,1,570,172,16
15000US110010016004,1871,4,1317,476,0
15000US110010017021,1821,4,1419,374,19
15000US110010017022,1154,2,973,292,10
15000US110010018031,1371,3,961,326,43
15000US110010018032,2559,5,1751,531,122
15000US110010018041,1232,2,953,232,50
15000US110010018042,1634,3,1116,321,121
15000US110010018043,2710,5,1876,547,184
15000US110010019011,1112,2,623,272,35
15000US110010019012,1048,2,752,237,21
15000US110010019013,830,2,672,223,51
15000US110010019014,811,2,544,175,30
15000US110010019021,1566,3,1134,336,64
15000US110010019022,679,1,583,163,3
15000US110010020011,1203,2,961,241,143
15000US110010020012,1437,3,1122,347,15
15000US110010020021,1022,2,739,216,37
15000US110010020022,1535,3,1008,247,139
15000US110010020023,1312,3,1028,209,7
15000US110010021011,1327,3,1082,297,30
15000US110010021012,975,2,697,199,22
15000US110010021013,1279,3,914,350,36
15000US110010021014,887,2,595,101,22
15000US110010021015,1245,2,726,202,9
15000US110010021021,1012,2,654,174,33
15000US110010021022,535,1,456,114,61
15000US110010021023,1232,2,919,212,129
15000US110010021024,802,2,561,156,35
15000US110010021025,757,2,454,181,26
15000US110010021026,630,1,400,130,35
15000US110010022011,1331,3,863,288,48
15000US110010022012,1667,3,1145,391,57
15000US110010022013,738,1,508,137,71
15000US110010022021,1946,4,1343,330,156
15000US110010022022,1090,2,680,219,54
15000US110010022023,929,2,549,185,35
15000US110010023011,1230,2,971,257,33
15000US110010023012,2031,4,1548,380,97
15000US110010023021,1841,4,1405,153,16
15000US110010024001,628,1,477,170,62
15000US110010024002,1384,3,988,250,37
15000US110010024003,1135,2,718,192,32
15000US110010024004,1135,2,900,177,22
15000US110010025011,1236,2,811,129,102
15000US110010025012,1512,3,1115,296,45
15000US110010025021,1118,2,896,171,144
15000US110010025022,1165,2,830,144,46
15000US110010025023,2062,4,1305,341,99
15000US110010025024,1734,3,1343,360,174
15000US110010026001,1179,2,926,314,5
15000US110010026002,1354,3,983,321,26
15000US110010027011,1027,2,813,152,0
15000US110010027012,1872,4,1552,244,35
15000US110010027013,826,2,632,177,0
15000US110010027014,1756,4,1241,294,182
15000US110010027021,1964,4,1411,285,157
15000US110010027022,2308,5,1721,417,124
15000US110010027023,1583,3,1363,206,16
15000US110010028011,1185,2,960,185,116
15000US110010028012,3208,6,2008,651,195
15000US110010028021,2781,6,2163,448,163
15000US110010028022,2246,4,1528,314,137
15000US110010029001,2280,5,1716,234,124
15000US110010029002,2588,5,1845,485,98
15000US110010030001,1740,3,1411,235,87
15000US110010030002,1920,4,1235,398,224
15000US110010031001,3355,7,2365,482,153
15000US110010032001,1024,2,755,155,68
15000US110010032002,923,2,673,174,60
15000US110010032003,1696,3,1237,431,79
15000US110010032004,1138,2,783,211,58
15000US110010033011,1302,3,929,251,52
15000US110010033012,1159,2,972,109,23
15000US110010033013,975,2,783,113,10
15000US110010033021,1296,3,977,283,35
15000US110010033022,985,2,664,169,43
15000US110010034001,1508,3,813,177,149
15000US110010034002,3160,6,1187,216,10
15000US110010035001,1679,3,1276,237,81
15000US110010035002,3280,7,937,170,214
15000US110010036001,1756,4,1521,302,13
15000US110010036002,1293,3,988,147,62
15000US110010036003,1664,3,1277,231,113
15000US110010037001,1618,3,1066,306,75
15000US110010037002,2281,5,1210,162,156
15000US110010037003,1717,3,1243,239,74
15000US110010038001,2521,5,2261,407,76
15000US110010038002,1709,3,1445,275,11
15000US110010038003,878,2,699,95,111
15000US110010039001,1437,3,1392,126,39
15000US110010039002,1033,2,960,87,11
15000US110010039003,1198,2,1027,182,55
15000US110010039004,783,2,609,160,0
15000US110010040011,1434,3,1263,94,0
15000US110010040012,533,1,533,105,17
15000US110010040013,1940,4,1647,322,0
15000US110010040021,539,1,529,92,4
15000US110010040022,1590,3,1360,214,0
15000US110010040023,684,1,586,87,7
15000US110010041001,1251,3,1106,220,6
15000US110010041002,636,1,525,135,0
15000US110010041003,723,1,576,127,0
15000US110010042011,1656,3,1483,139,46
15000US110010042012,1986,4,1718,265,0
15000US110010042021,1342,3,1157,119,29
15000US110010042022,1418,3,1236,174,27
15000US110010043001,1957,4,1677,346,90
15000US110010043002,1524,3,1230,200,7
15000US110010044001,3447,7,3165,417,31
15000US110010044002,2108,4,1566,295,35
15000US110010046001,1257,3,905,225,147
15000US110010046002,1670,3,1364,326,29
15000US110010047011,1211,2,817,199,303
15000US110010047012,2772,6,2049,484,362
15000US110010047021,2285,5,1965,238,150
15000US110010048011,2138,4,1753,290,76
15000US110010048021,1209,2,997,214,36
15000US110010048022,2104,4,1453,415,129
15000US110010049011,1358,3,810,348,96
15000US110010049012,1155,2,977,149,65
15000US110010049021,713,1,504,145,58
15000US110010049022,2046,4,1704,388,69
15000US110010050011,959,2,781,165,0
15000US110010050012,1133,2,1088,150,53
15000US110010050021,1657,3,1548,266,197
15000US110010050022,1796,4,1697,198,21
15000US110010050023,1263,3,861,189,0
15000US110010050024,1219,2,964,122,0
15000US110010052011,2228,4,2074,224,71
15000US110010052012,1494,3,1257,78,0
15000US110010052013,727,1,713,101,22
15000US110010052014,1376,3,1264,101,0
15000US110010053011,1053,2,939,94,0
15000US110010053012,1419,3,1199,246,15
15000US110010053013,1264,3,1124,129,28
15000US110010053014,1542,3,1264,98,24
15000US110010055001,656,1,606,54,0
15000US110010055002,2296,5,2032,430,0
15000US110010055003,1837,4,1312,248,0
15000US110010055004,1073,2,918,142,0
15000US110010055005,646,1,525,36,0
15000US110010056001,1779,4,1258,86,0
15000US110010056002,1619,3,1233,189,70
15000US110010056003,1791,4,722,109,0
15000US110010056004,1288,3,824,206,2
15000US110010058001,888,2,813,124,0
15000US110010058002,1809,4,1560,312,75
15000US110010059001,3043,6,2159,194,132
15000US110010062021,0,0,0,0,0
15000US110010064001,1014,2,745,230,219
15000US110010064002,972,2,537,246,208
15000US110010065001,959,2,872,136,9
15000US110010065002,1456,3,1232,319,0
15000US110010066001,1932,4,1561,417,10
15000US110010067001,1256,3,1026,289,24
15000US110010067002,1269,3,997,291,7
15000US110010067003,1432,3,1128,374,0
15000US110010068011,1373,3,1018,246,126
