tractblkgrp,tract,block Group,num_HU,%incr_per_yr_HU,num_occ,num_vac,calc_vac_rate,num_historic,calc_historic_rate,%moves,median_monthly_costs,median_monthly_budget,median_income,median_to_mean,median_home_value,num_public_housing,%public_housing,violentcrime_rate,propertycrime_rate,%incr_median_income
64001,6400,1,613,0.0026,572,41,0.07,113,0.18,10.64,338,210,10096,1.566347879,117600,495,0.624,28,57,1.2384
64002,6400,2,460,-0.0076,413,47,0.1,70,0.15,26.16,474,356,17108,1.566347879,85000,175,0.624,28,57,0.321
67001,6700,1,532,0.0113,503,29,0.06,363,0.68,21.6,1157,1247,59844,1.232929579,189400,0,0,11,50,1.3586
67002,6700,2,652,-0.0039,626,26,0.04,496,0.76,20.16,1229,1590,76335,1.232929579,303400,0,0,11,50,0.8491
67003,6700,3,786,0,748,38,0.05,567,0.72,18.96,1256,1784,85626,1.232929579,278000,0,0,11,50,0.6484
68011,6801,1,736,-0.0143,607,129,0.18,289,0.39,19.92,748,619,29696,1.28929832,132300,0,0,13,21,2.006
68012,6801,2,369,-0.0082,319,50,0.14,201,0.55,23.36,740,738,35435,1.28929832,116900,0,0,13,21,1.5191
68021,6802,1,385,-0.0018,335,50,0.13,249,0.65,18.64,665,657,31513,1.543498022,121600,0,0,7.9,32,2.2721
68022,6802,2,339,0.0633,307,32,0.09,165,0.49,14.32,869,817,39196,1.543498022,140100,0,0,7.9,32,1.6307
69001,6900,1,391,0.0762,357,34,0.09,159,0.41,17.68,625,530,25417,1.543498022,158000,119,0.173,17,93,3.53
69002,6900,2,296,0.0239,281,15,0.05,192,0.65,5.12,1079,1533,73571,1.543498022,162000,0,0.173,17,93,0.565
70002,7000,2,475,0.05,434,41,0.09,288,0.61,28.4,1145,1324,63571,1.237913728,215400,134,0.12,22,90,0.7334
70003,7000,3,640,-0.0256,588,52,0.08,314,0.49,30.64,1293,1464,70286,1.237913728,246800,0,0.12,22,90,0.5678
71001,7100,1,570,-0.0355,522,48,0.08,104,0.18,23.6,283,356,17083,1.515996385,130900,513,0.644,27,47,2.2592
71002,7100,2,226,0.1676,209,17,0.08,132,0.58,7.28,712,1039,49861,1.515996385,115700,0,0.644,27,47,0.1166
72001,7200,1,952,0.0567,888,64,0.07,162,0.17,22.24,161,169,8089,2.266287551,126800,537,0.564,60,267,10.025
79011,7901,1,290,0.0949,247,43,0.15,32,0.11,29.44,303,302,14514,1.295208093,84300,0,0.083,19,28,1.3129
79012,7901,2,408,-0.0306,325,83,0.2,206,0.51,10.32,905,674,32366,1.295208093,102900,143,0.083,19,28,0.0372
79013,7901,3,502,-0.0252,449,53,0.11,130,0.26,15.52,647,455,21833,1.295208093,136000,0,0.083,19,28,0.5375
79014,7901,4,504,0.0122,444,60,0.12,161,0.32,9.52,511,447,21442,1.295208093,116400,0,0.083,19,28,0.5656
79031,7903,1,638,-0.0189,532,106,0.17,238,0.37,8.24,681,754,36172,1.276180471,99000,143,0.22,20,29,0.1218
80011,8001,1,324,0.0039,272,52,0.16,201,0.62,8.8,926,1148,55083,1.194734052,155800,0,0.391,11,30,0.6793
80012,8001,2,697,0.0055,590,107,0.15,474,0.68,14.08,969,757,36313,1.194734052,121700,515,0.391,11,30,1.5473
80013,8001,3,296,0.0072,277,19,0.06,209,0.71,6.96,1207,1201,57639,1.194734052,155400,0,0.391,11,30,0.6048
80021,8002,1,707,-0.0048,636,71,0.1,307,0.43,26.64,951,822,39471,1.293762518,139900,0,0.0849,18,59,1.604
80023,8002,3,977,-0.0007,877,100,0.1,594,0.61,17.12,1121,1176,56458,1.293762518,156500,143,0.0849,18,59,0.8205
81001,8100,1,383,0.0109,338,45,0.12,218,0.57,22.96,978,1062,50972,1.313796084,201900,0,0,6.9,46,1.4625
81002,8100,2,544,0.0157,544,0,0,435,0.8,21.76,1126,1497,71875,1.313796084,219500,0,0,6.9,46,0.7463
81003,8100,3,455,0.0066,439,16,0.04,419,0.92,30.24,1317,1253,60156,1.313796084,354100,0,0,6.9,46,1.0865
