"export-plot data (NetLogo 4.1)"
"Sleuthmodelv22.nlogo"
"12/10/2010 10:21:59:894 -0500"

"MODEL SETTINGS"
"rounds","newspread","roadgravity","dispersion","spread","lobby"
"50","55","19","52","26","0"

"""% of Developed Land"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","1","true","""%urban""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","0"
"""%urban""","true","0","1","0","50"

"""default""",,,,"""%urban"""
"x","y","color","pen down?","x","y","color","pen down?"
,,,,"0","0.18046109000971647","0","true"
,,,,"1","0.2011788229436847","0","true"
,,,,"2","0.22073218716624776","0","true"
,,,,"3","0.23887224867703624","0","true"
,,,,"4","0.2557596100569336","0","true"
,,,,"5","0.27202062137138544","0","true"
,,,,"6","0.2875107402975966","0","true"
,,,,"7","0.30302494961094023","0","true"
,,,,"8","0.31819386337538447","0","true"
,,,,"9","0.33206189623467247","0","true"
,,,,"10","0.3463635560623459","0","true"
,,,,"11","0.3599826549212646","0","true"
,,,,"12","0.37394704932908274","0","true"
,,,,"13","0.3874537263813829","0","true"
,,,,"14","0.40081586111088807","0","true"
,,,,"15","0.41421011635656985","0","true"
,,,,"16","0.427251045924308","0","true"
,,,,"17","0.4402518248468253","0","true"
,,,,"18","0.4530116998980174","0","true"
,,,,"19","0.4662052019175948","0","true"
,,,,"20","0.479061438517317","0","true"
,,,,"21","0.49148404814865376","0","true"
,,,,"22","0.5035854526182236","0","true"
,,,,"23","0.5153094410227173","0","true"
,,,,"24","0.5269691883948575","0","true"
,,,,"25","0.5389260505416322","0","true"
,,,,"26","0.5497747548803109","0","true"
,,,,"27","0.5610811765745075","0","true"
,,,,"28","0.5720503328488489","0","true"
,,,,"29","0.5829070673165718","0","true"
,,,,"30","0.5933783555901744","0","true"
,,,,"31","0.6037934329604677","0","true"
,,,,"32","0.6139033654270825","0","true"
,,,,"33","0.6239410267322996","0","true"
,,,,"34","0.6334888501658221","0","true"
,,,,"35","0.643189246051184","0","true"
,,,,"36","0.6527370694847067","0","true"
,,,,"37","0.6614979402719001","0","true"
,,,,"38","0.6704515341561539","0","true"
,,,,"39","0.6793007363628334","0","true"
,,,,"40","0.6879010045691434","0","true"
,,,,"41","0.6956340188386827","0","true"
,,,,"42","0.7036239972376356","0","true"
,,,,"43","0.711589885249456","0","true"
,,,,"44","0.7197083457131156","0","true"
,,,,"45","0.7268471304333861","0","true"
,,,,"46","0.734331210702556","0","true"
,,,,"47","0.7412612120676779","0","true"
,,,,"48","0.7484802980783901","0","true"
,,,,"49","0.7552577269916727","0","true"
,,,,"50","0.7617219808722326","0","true"
